id_jogador,epoca,dias_parado_max,carga_lesao_historica,num_lesoes,posicao,nacionalidade,idade_atual,risco_lesao,dias_descanso_media,jogos_fase_grupos,altitude_media,idade_x_jogos,idade_x_altitude,descanso_relativo,risco_biomecanico
27,19/20,8,8,1,Goalkeeper,Germany,30.0,0,,,,,,,1.0
27,21/22,14,14,1,Goalkeeper,Germany,31.0,0,,,,,,,1.0
28,15/16,5,5,1,Centre-Forward,Poland,26.0,0,,,,,,,6.0
28,16/17,8,8,1,Centre-Forward,Poland,28.0,0,,,,,,,6.0
28,17/18,15,28,4,Centre-Forward,Poland,28.5,1,,,,,,,6.0
28,19/20,29,56,2,Centre-Forward,Poland,31.0,1,,,,,,,6.0
28,20/21,24,27,2,Centre-Forward,Poland,32.0,1,,,,,,,6.0
28,21/22,2,2,1,Centre-Forward,Poland,32.0,0,,,,,,,6.0
28,22/23,13,13,1,Centre-Forward,Poland,34.0,0,,,,,,,6.0
28,23/24,23,23,1,Centre-Forward,Poland,34.0,1,,,,,,,6.0
28,24/25,11,11,1,Centre-Forward,Poland,35.0,0,,,,,,,6.0
29,20/21,8,12,2,Centre-Back,Germany,31.0,0,,,,,,,3.0
29,21/22,81,166,5,Centre-Back,Germany,32.4,1,,,,,,,3.0
29,22/23,8,13,3,Centre-Back,Germany,33.0,0,,,,,,,3.0
29,23/24,11,17,3,Centre-Back,Germany,34.0,0,,,,,,,3.0
30,10/11,39,39,1,Goalkeeper,Germany,21.0,1,,,,,,,1.0
30,11/12,123,123,1,Goalkeeper,Germany,22.0,1,,,,,,,1.0
30,13/14,15,34,3,Goalkeeper,Germany,24.666666666666668,1,,,,,,,1.0
30,14/15,8,8,1,Goalkeeper,Germany,25.0,0,,,,,,,1.0
30,15/16,22,55,3,Goalkeeper,Germany,26.333333333333332,1,,,,,,,1.0
30,16/17,189,189,1,Goalkeeper,Germany,27.0,1,,,,,,,1.0
30,21/22,6,6,1,Goalkeeper,Germany,33.0,0,,,,,,,1.0
31,18/19,44,95,3,Centre-Forward,Chile,30.0,1,,,,,,,6.0
31,19/20,85,85,1,Centre-Forward,Chile,30.0,1,,,,,,,6.0
31,20/21,19,58,4,Centre-Forward,Chile,31.5,1,,,,,,,6.0
31,21/22,41,55,2,Centre-Forward,Chile,32.0,1,,,,,,,6.0
31,23/24,8,20,3,Centre-Forward,Chile,34.0,0,,,,,,,6.0
31,24/25,10,10,1,Centre-Forward,Chile,35.0,0,,,,,,,6.0
32,17/18,31,49,2,Defensive Midfield,Croatia,28.0,1,,,,,,,4.0
32,18/19,14,27,2,Defensive Midfield,Croatia,29.0,0,,,,,,,4.0
32,20/21,11,16,2,Defensive Midfield,Croatia,31.0,0,,,,,,,4.0
32,21/22,12,24,3,Defensive Midfield,Croatia,32.0,0,,,,,,,4.0
32,22/23,42,67,2,Defensive Midfield,Croatia,33.0,1,,,,,,,4.0
32,23/24,23,26,2,Defensive Midfield,Croatia,34.0,1,,,,,,,4.0
33,09/10,57,57,1,Goalkeeper,Germany,21.0,1,,,,,,,1.0
33,13/14,32,32,1,Goalkeeper,Germany,24.0,1,,,,,,,1.0
33,14/15,8,8,1,Goalkeeper,Germany,25.0,0,,,,,,,1.0
33,15/16,36,36,1,Goalkeeper,Germany,26.0,1,,,,,,,1.0
33,17/18,64,71,2,Goalkeeper,Germany,28.0,1,,,,,,,1.0
33,21/22,42,48,2,Goalkeeper,Germany,32.0,1,,,,,,,1.0
33,23/24,5,13,3,Goalkeeper,Germany,34.333333333333336,0,,,,,,,1.0
34,08/09,11,11,1,Goalkeeper,Germany,19.0,0,,,,,,,1.0
34,11/12,39,39,1,Goalkeeper,Germany,23.0,1,,,,,,,1.0
34,12/13,61,61,1,Goalkeeper,Germany,23.0,1,,,,,,,1.0
34,13/14,12,12,1,Goalkeeper,Germany,24.0,0,,,,,,,1.0
34,14/15,43,43,1,Goalkeeper,Germany,25.0,1,,,,,,,1.0
34,17/18,26,45,2,Goalkeeper,Germany,28.0,1,,,,,,,1.0
34,19/20,68,68,1,Goalkeeper,Germany,31.0,1,,,,,,,1.0
34,20/21,89,89,1,Goalkeeper,Germany,32.0,1,,,,,,,1.0
34,21/22,8,18,3,Goalkeeper,Germany,33.0,0,,,,,,,1.0
34,23/24,20,20,1,Goalkeeper,Germany,34.0,1,,,,,,,1.0
35,18/19,10,10,1,Centre-Forward,"Austria,Serbia",29.0,0,,,,,,,6.0
35,20/21,22,22,1,Centre-Forward,"Austria,Serbia",31.0,1,,,,,,,6.0
35,21/22,12,40,4,Centre-Forward,"Austria,Serbia",32.0,0,,,,,,,6.0
35,22/23,50,116,5,Centre-Forward,"Austria,Serbia",33.0,1,,,,,,,6.0
35,23/24,44,71,2,Centre-Forward,"Austria,Serbia",34.0,1,,,,,,,6.0
36,15/16,12,12,1,Goalkeeper,Switzerland,26.0,0,,,,,,,1.0
36,16/17,8,8,1,Goalkeeper,Switzerland,27.0,0,,,,,,,1.0
36,17/18,18,29,2,Goalkeeper,Switzerland,28.5,1,,,,,,,1.0
36,20/21,5,5,1,Goalkeeper,Switzerland,31.0,0,,,,,,,1.0
36,21/22,8,8,1,Goalkeeper,Switzerland,33.0,0,,,,,,,1.0
36,22/23,26,30,2,Goalkeeper,Switzerland,33.0,1,,,,,,,1.0
36,23/24,10,16,2,Goalkeeper,Switzerland,35.0,0,,,,,,,1.0
37,18/19,12,23,2,Centre-Back,Northern Ireland,30.0,0,,,,,,,3.0
37,19/20,7,7,1,Centre-Back,Northern Ireland,31.0,0,,,,,,,3.0
37,20/21,17,42,5,Centre-Back,Northern Ireland,32.2,1,,,,,,,3.0
37,21/22,110,151,2,Centre-Back,Northern Ireland,33.0,1,,,,,,,3.0
37,22/23,144,172,2,Centre-Back,Northern Ireland,34.0,1,,,,,,,3.0
37,23/24,28,55,2,Centre-Back,Northern Ireland,35.0,1,,,,,,,3.0
38,17/18,118,162,2,Attacking Midfield,England,29.0,1,,,,,,,3.0
38,18/19,61,146,4,Attacking Midfield,England,30.0,1,,,,,,,3.0
38,20/21,24,52,4,Attacking Midfield,England,32.0,1,,,,,,,3.0
38,21/22,21,44,3,Attacking Midfield,England,33.0,1,,,,,,,3.0
38,22/23,83,117,2,Attacking Midfield,England,34.0,1,,,,,,,3.0
39,11/12,6,6,1,Goalkeeper,Germany,20.0,0,,,,,,,1.0
39,12/13,24,24,1,Goalkeeper,Germany,21.0,1,,,,,,,1.0
39,13/14,8,8,1,Goalkeeper,Germany,22.0,0,,,,,,,1.0
39,16/17,7,7,1,Goalkeeper,Germany,25.0,0,,,,,,,1.0
39,18/19,4,4,1,Goalkeeper,Germany,27.0,0,,,,,,,1.0
40,12/13,50,73,2,Goalkeeper,Poland,22.0,1,,,,,,,1.0
40,14/15,11,22,2,Goalkeeper,Poland,24.0,0,,,,,,,1.0
40,15/16,50,62,2,Goalkeeper,Poland,25.5,1,,,,,,,1.0
40,19/20,7,7,1,Goalkeeper,Poland,29.0,0,,,,,,,1.0
40,21/22,3,3,1,Goalkeeper,Poland,31.0,0,,,,,,,1.0
40,22/23,28,50,3,Goalkeeper,Poland,32.0,1,,,,,,,1.0
40,23/24,7,7,1,Goalkeeper,Poland,33.0,0,,,,,,,1.0
41,08/09,28,28,1,Goalkeeper,Portugal,20.0,1,5.0,3.0,12.0,60.0,240.0,1.25,1.0
41,13/14,21,21,1,Goalkeeper,Portugal,25.0,1,5.0,3.0,12.0,75.0,300.0,1.25,1.0
41,16/17,8,8,1,Goalkeeper,Portugal,28.0,0,5.0,3.0,12.0,84.0,336.0,1.25,1.0
41,20/21,17,17,1,Goalkeeper,Portugal,32.0,1,5.0,3.0,12.0,96.0,384.0,1.25,1.0
41,22/23,4,7,2,Goalkeeper,Portugal,34.0,0,5.0,3.0,12.0,102.0,408.0,1.25,1.0
42,20/21,44,80,2,Centre-Forward,"Italy,Ghana",30.0,1,,,,,,,6.0
42,21/22,11,17,2,Centre-Forward,"Italy,Ghana",31.0,0,,,,,,,6.0
42,22/23,21,58,6,Centre-Forward,"Italy,Ghana",31.666666666666668,1,,,,,,,6.0
42,23/24,83,90,2,Centre-Forward,"Italy,Ghana",33.0,1,,,,,,,6.0
43,11/12,92,92,1,Left Winger,"Ghana,France",22.0,1,,,,,,,6.0
43,13/14,77,77,1,Left Winger,"Ghana,France",23.0,1,,,,,,,6.0
43,14/15,16,16,1,Left Winger,"Ghana,France",24.0,1,,,,,,,6.0
43,16/17,71,71,1,Left Winger,"Ghana,France",26.0,1,,,,,,,6.0
43,17/18,26,35,2,Left Winger,"Ghana,France",27.5,1,,,,,,,6.0
43,18/19,20,38,3,Left Winger,"Ghana,France",28.333333333333332,1,,,,,,,6.0
44,11/12,183,191,2,Goalkeeper,Wales,25.0,1,,,,,,,1.0
44,15/16,5,5,1,Goalkeeper,Wales,29.0,0,,,,,,,1.0
44,17/18,11,11,1,Goalkeeper,Wales,30.0,0,,,,,,,1.0
44,18/19,19,48,3,Goalkeeper,Wales,31.0,1,,,,,,,1.0
44,20/21,123,123,1,Goalkeeper,Wales,33.0,1,,,,,,,1.0
45,15/16,1,1,1,Goalkeeper,Germany,25.0,0,,,,,,,1.0
45,16/17,11,11,1,Goalkeeper,Germany,26.0,0,,,,,,,1.0
45,17/18,4,4,1,Goalkeeper,Germany,26.0,0,,,,,,,1.0
45,18/19,11,19,2,Goalkeeper,Germany,27.0,0,,,,,,,1.0
45,19/20,95,110,2,Goalkeeper,Germany,28.5,1,,,,,,,1.0
45,21/22,8,16,2,Goalkeeper,Germany,31.0,0,,,,,,,1.0
45,22/23,4,4,1,Goalkeeper,Germany,32.0,0,,,,,,,1.0
45,23/24,10,19,3,Goalkeeper,Germany,32.333333333333336,0,,,,,,,1.0
46,16/17,26,60,3,Centre-Back,Germany,25.0,1,,,,,,,3.0
46,17/18,151,173,2,Centre-Back,Germany,26.0,1,,,,,,,3.0
46,18/19,141,199,3,Centre-Back,Germany,27.0,1,,,,,,,3.0
46,20/21,71,71,1,Centre-Back,Germany,29.0,1,,,,,,,3.0
46,22/23,80,137,4,Centre-Back,Germany,31.0,1,,,,,,,3.0
46,23/24,50,50,1,Centre-Back,Germany,32.0,1,,,,,,,3.0
46,24/25,163,163,1,Centre-Back,Germany,33.0,1,,,,,,,3.0
47,14/15,21,21,1,Centre-Forward,Croatia,23.0,1,,,,,,,6.0
47,17/18,88,94,2,Centre-Forward,Croatia,25.5,1,,,,,,,6.0
47,20/21,15,29,2,Centre-Forward,Croatia,29.0,1,,,,,,,6.0
47,21/22,39,68,3,Centre-Forward,Croatia,29.0,1,,,,,,,6.0
47,23/24,28,28,1,Centre-Forward,Croatia,32.0,1,,,,,,,6.0
48,19/20,85,149,5,Centre-Forward,Croatia,27.6,1,,,,,,,6.0
48,20/21,15,55,5,Centre-Forward,Croatia,29.0,1,,,,,,,6.0
48,21/22,12,23,2,Centre-Forward,Croatia,30.0,0,,,,,,,6.0
48,22/23,8,8,1,Centre-Forward,Croatia,30.0,0,,,,,,,6.0
48,23/24,34,34,1,Centre-Forward,Croatia,32.0,1,,,,,,,6.0
49,15/16,4,4,1,Goalkeeper,"Finland,Slovakia",26.0,0,,,,,,,1.0
49,17/18,5,5,1,Goalkeeper,"Finland,Slovakia",27.0,0,,,,,,,1.0
49,18/19,46,46,1,Goalkeeper,"Finland,Slovakia",28.0,1,,,,,,,1.0
49,20/21,46,46,1,Goalkeeper,"Finland,Slovakia",31.0,1,,,,,,,1.0
49,21/22,5,5,1,Goalkeeper,"Finland,Slovakia",32.0,0,,,,,,,1.0
50,13/14,74,74,1,Right-Back,"United States,Germany",23.0,1,,,,,,,4.0
50,14/15,8,8,1,Right-Back,"United States,Germany",24.0,0,,,,,,,4.0
50,15/16,39,90,3,Right-Back,"United States,Germany",25.0,1,,,,,,,4.0
50,17/18,43,59,4,Right-Back,"United States,Germany",27.25,1,,,,,,,4.0
50,18/19,176,254,2,Right-Back,"United States,Germany",28.0,1,,,,,,,4.0
50,19/20,15,15,1,Right-Back,"United States,Germany",29.0,1,,,,,,,4.0
50,22/23,5,5,1,Right-Back,"United States,Germany",32.0,0,,,,,,,4.0
50,23/24,48,52,2,Right-Back,"United States,Germany",33.0,1,,,,,,,4.0
51,19/20,95,120,4,Central Midfield,Croatia,25.0,1,,,,,,,5.0
51,20/21,34,34,1,Central Midfield,Croatia,26.0,1,,,,,,,5.0
51,21/22,34,64,3,Central Midfield,Croatia,27.0,1,,,,,,,5.0
51,22/23,18,60,5,Central Midfield,Croatia,28.0,1,,,,,,,5.0
51,23/24,14,14,1,Central Midfield,Croatia,29.0,0,,,,,,,5.0
52,16/17,126,126,1,Goalkeeper,Austria,28.0,1,,,,,,,1.0
52,23/24,11,11,1,Goalkeeper,Austria,35.0,0,,,,,,,1.0
53,14/15,288,288,1,Goalkeeper,England,26.0,1,,,,,,,1.0
53,16/17,12,12,1,Goalkeeper,England,28.0,0,,,,,,,1.0
53,21/22,24,24,1,Goalkeeper,England,33.0,1,,,,,,,1.0
53,23/24,49,49,1,Goalkeeper,England,35.0,1,,,,,,,1.0
54,18/19,37,69,4,Central Midfield,Slovenia,27.75,1,,,,,,,5.0
54,19/20,51,183,7,Central Midfield,Slovenia,28.428571428571427,1,,,,,,,5.0
54,20/21,9,9,1,Central Midfield,Slovenia,29.0,0,,,,,,,5.0
54,21/22,3,3,1,Central Midfield,Slovenia,31.0,0,,,,,,,5.0
54,22/23,5,5,1,Central Midfield,Slovenia,32.0,0,,,,,,,5.0
55,15/16,134,179,4,Central Midfield,Germany,24.75,1,,,,,,,5.0
55,16/17,242,242,1,Central Midfield,Germany,25.0,1,,,,,,,5.0
55,18/19,35,41,2,Central Midfield,Germany,27.0,1,,,,,,,5.0
55,19/20,7,15,3,Central Midfield,Germany,28.0,0,,,,,,,5.0
55,20/21,26,37,3,Central Midfield,Germany,29.0,1,,,,,,,5.0
55,21/22,24,24,1,Central Midfield,Germany,30.0,1,,,,,,,5.0
56,10/11,40,59,2,Right-Back,Italy,20.5,1,,,,,,,4.0
56,15/16,20,38,2,Right-Back,Italy,25.5,1,,,,,,,4.0
56,18/19,83,102,3,Right-Back,Italy,28.333333333333332,1,,,,,,,4.0
56,19/20,19,19,1,Right-Back,Italy,29.0,1,,,,,,,4.0
56,21/22,24,24,1,Right-Back,Italy,31.0,1,,,,,,,4.0
56,22/23,32,32,1,Right-Back,Italy,32.0,1,,,,,,,4.0
57,09/10,5,5,1,Goalkeeper,Germany,19.0,0,,,,,,,1.0
57,17/18,5,5,1,Goalkeeper,Germany,27.0,0,,,,,,,1.0
57,19/20,35,35,1,Goalkeeper,Germany,29.0,1,,,,,,,1.0
57,20/21,52,62,4,Goalkeeper,Germany,29.25,1,,,,,,,1.0
57,21/22,8,16,2,Goalkeeper,Germany,31.0,0,,,,,,,1.0
58,10/11,4,4,1,Defensive Midfield,Germany,20.0,0,,,,,,,4.0
58,13/14,15,15,1,Defensive Midfield,Germany,23.0,1,,,,,,,4.0
58,14/15,8,8,1,Defensive Midfield,Germany,24.0,0,,,,,,,4.0
58,16/17,22,30,2,Defensive Midfield,Germany,26.0,1,,,,,,,4.0
58,17/18,46,57,2,Defensive Midfield,Germany,27.0,1,,,,,,,4.0
58,18/19,109,109,1,Defensive Midfield,Germany,28.0,1,,,,,,,4.0
58,19/20,22,22,1,Defensive Midfield,Germany,29.0,1,,,,,,,4.0
